,contextFold,contrafold,e2efold,ipknot,mxfold,mxfold2,rna-state-inf,rna-structure,rnafold,spot-rna,ufold
3IEV_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3IGI_1_A,0.59,0.638,0.031,0.684,0.531,0.716,0.523,0.351,0.746,0.635,0.692
3IQN_1_A,0.379,0.433,0.0,0.4,0.687,0.671,0.406,0.276,0.7,0.76,0.76
3IQP_1_A,0.409,0.736,0.044,0.655,0.736,0.722,0.623,0.3,0.708,0.778,0.804
3IQR_1_A,0.423,0.731,0.045,0.648,0.731,0.716,0.656,0.282,0.745,0.764,0.803
3IRW_1_R,0.212,0.725,0.0,0.459,0.653,0.689,0.575,0.283,0.203,0.762,0.595
3IVK_1_C,0.603,0.689,0.0,0.639,0.566,0.689,0.598,0.652,0.689,0.703,0.67
3IVK_1_M,0.598,0.683,0.0,0.634,0.561,0.683,0.593,0.646,0.683,0.697,0.665
3IVN_1_A,0.698,0.698,0.0,0.673,0.698,0.698,0.698,0.307,0.698,0.77,0.68
3IVN_1_B,0.707,0.707,0.0,0.681,0.707,0.707,0.707,0.311,0.707,0.795,0.689
3IWN_1_A,0.181,0.707,0.0,0.534,0.615,0.676,0.557,0.193,0.557,0.738,0.692
3IWN_1_B,0.183,0.684,0.0,0.509,0.604,0.653,0.545,0.191,0.545,0.689,0.669
3IYQ_1_A,0.353,0.334,0.385,0.385,0.364,0.361,0.317,0.255,0.342,0.439,0.679
3IYR_1_A,0.344,0.334,0.38,0.384,0.356,0.35,0.306,0.235,0.334,0.455,0.666
3IZ4_1_A,0.656,0.479,0.471,0.41,0.609,0.653,0.471,0.423,0.467,0.439,0.67
3IZD_1_A,0.91,0.885,0.0,0.84,0.81,0.919,0.884,0.738,0.919,0.791,0.835
3IZY_1_N,0.396,0.386,0.386,0.301,0.386,0.386,0.135,0.372,0.386,0.4,0.391
3IZZ_1_A,0.712,0.717,0.149,0.658,0.735,0.732,0.712,0.677,0.712,0.712,0.694
3IZZ_1_B,0.681,0.709,0.0,0.684,0.709,0.697,0.709,0.443,0.709,0.651,0.722
3IZZ_1_D,0.0,0.0,0.0,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0
3IZZ_1_E,0.798,0.812,0.0,0.725,0.708,0.812,0.798,0.504,0.798,0.754,0.754
3J0D_1_A,0.615,0.615,0.087,0.528,0.677,0.643,0.615,0.615,0.615,0.615,0.591
3J0D_1_B,0.926,0.926,0.189,0.926,0.926,0.617,0.926,0.756,0.926,0.926,0.926
3J0D_1_C,0.845,0.926,0.267,0.845,0.926,0.926,0.926,0.926,0.926,0.926,0.926
3J0D_1_D,1.0,1.0,0.816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3J0D_1_E,0.882,0.882,0.385,0.882,0.882,0.882,0.882,0.667,0.882,0.882,0.882
3J0D_1_F,0.0,0.385,0.333,0.149,0.447,0.596,0.333,0.0,0.0,0.0,0.0
3J0D_1_h-H,0.767,0.366,0.092,0.0,0.55,0.767,0.0,0.0,0.0,0.647,0.537
3J0E_1_A,0.926,0.926,0.189,0.926,0.926,0.617,0.926,0.926,0.926,0.926,0.926
3J0E_1_B,0.845,0.926,0.267,0.845,0.926,0.926,0.926,0.926,0.926,0.926,0.926
3J0E_1_C,1.0,1.0,0.816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3J0E_1_D,0.882,0.882,0.385,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
3J0E_1_e-E,0.767,0.366,0.092,0.0,0.55,0.767,0.0,0.0,0.0,0.647,0.537
3J0L_1_1,0.617,0.641,0.073,0.58,0.444,0.669,0.669,0.669,0.669,0.556,0.5
3J0L_1_2,0.511,0.201,0.0,0.195,0.522,0.201,0.201,0.307,0.201,0.38,0.189
3J0L_1_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0L_1_4,0.707,0.707,0.0,0.707,0.866,0.866,0.707,0.707,0.707,0.0,0.707
3J0L_1_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0L_1_7,0.0,0.0,0.0,0.345,0.617,0.617,0.504,0.504,0.0,0.395,0.0
3J0L_1_8,0.882,0.882,0.167,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
3J0L_1_a,0.621,0.483,0.0,0.345,0.592,0.329,0.484,0.484,0.315,0.412,0.329
3J0L_1_b,0.577,0.0,0.5,0.0,0.354,0.577,0.0,0.0,0.0,0.75,0.5
3J0L_1_c,0.707,0.707,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.791,0.791
3J0L_1_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0L_1_g-G-d,0.653,0.612,0.0,0.553,0.468,0.653,0.596,0.573,0.573,0.0,0.58
3J0L_1_h,0.762,0.7,0.0,0.693,0.748,0.697,0.695,0.748,0.762,0.763,0.671
3J0L_1_V,0.753,0.419,0.753,0.506,0.528,0.771,0.771,0.35,0.771,0.87,0.788
3J0L_1_W,0.727,0.392,0.727,0.0,0.497,0.746,0.746,0.355,0.746,0.802,0.765
3J0L_1_Y,0.637,0.375,0.637,0.46,0.447,0.643,0.657,0.248,0.643,0.687,0.677
3J0O_1_2,0.511,0.201,0.0,0.195,0.522,0.201,0.201,0.307,0.201,0.38,0.189
3J0O_1_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0O_1_4,0.707,0.707,0.0,0.707,0.866,0.866,0.707,0.707,0.707,0.0,0.707
3J0O_1_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0O_1_7,0.0,0.0,0.0,0.283,0.553,0.553,0.452,0.452,0.0,0.337,0.0
3J0O_1_8,0.882,0.882,0.167,0.882,0.882,0.882,0.882,0.882,0.882,0.882,0.882
3J0O_1_a,0.621,0.483,0.0,0.345,0.592,0.329,0.484,0.484,0.315,0.412,0.329
3J0O_1_b,0.577,0.0,0.5,0.0,0.354,0.577,0.0,0.0,0.0,0.75,0.5
3J0O_1_c,0.707,0.707,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.791,0.791
3J0O_1_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0O_1_g-G-d,0.653,0.612,0.0,0.553,0.468,0.653,0.596,0.573,0.573,0.0,0.58
3J0O_1_h,0.762,0.7,0.0,0.693,0.748,0.697,0.695,0.748,0.762,0.763,0.671
3J0O_1_V,0.753,0.419,0.753,0.506,0.528,0.771,0.771,0.35,0.771,0.87,0.788
3J0O_1_W,0.727,0.392,0.727,0.0,0.497,0.746,0.746,0.355,0.746,0.802,0.765
3J0O_1_Y,0.637,0.375,0.637,0.46,0.447,0.643,0.657,0.248,0.643,0.687,0.677
3J0P_1_2,0.511,0.201,0.0,0.195,0.522,0.201,0.201,0.307,0.201,0.38,0.189
3J0P_1_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0P_1_7,0.0,0.0,0.0,0.283,0.553,0.553,0.452,0.452,0.0,0.337,0.0
3J0P_1_a,0.621,0.483,0.0,0.345,0.592,0.329,0.484,0.484,0.315,0.412,0.329
3J0P_1_c,0.707,0.707,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.791,0.791
3J0P_1_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0P_1_g-G-d,0.653,0.612,0.0,0.553,0.468,0.653,0.596,0.573,0.573,0.0,0.58
3J0P_1_h,0.762,0.7,0.0,0.693,0.748,0.697,0.695,0.748,0.762,0.763,0.671
3J0P_1_W,0.791,0.754,0.791,0.0,0.791,0.791,0.397,0.253,0.791,0.919,0.791
3J0P_1_Y,0.637,0.375,0.637,0.46,0.447,0.643,0.657,0.248,0.643,0.687,0.677
3J0Q_1_2,0.511,0.201,0.0,0.195,0.522,0.201,0.201,0.307,0.201,0.38,0.189
3J0Q_1_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0Q_1_7,0.0,0.0,0.0,0.283,0.553,0.553,0.452,0.452,0.0,0.337,0.0
3J0Q_1_9,0.775,0.775,0.141,0.775,0.775,0.775,0.707,0.707,0.775,0.775,0.775
3J0Q_1_a,0.621,0.483,0.0,0.345,0.592,0.329,0.484,0.484,0.315,0.412,0.329
3J0Q_1_c,0.707,0.707,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.791,0.791
3J0Q_1_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J0Q_1_g-G-d,0.653,0.612,0.0,0.553,0.468,0.653,0.596,0.573,0.573,0.0,0.58
3J0Q_1_h,0.762,0.7,0.0,0.693,0.748,0.697,0.695,0.748,0.762,0.763,0.671
3J0Q_1_W,0.791,0.754,0.791,0.0,0.791,0.791,0.397,0.253,0.791,0.919,0.791
3J0Q_1_Y,0.791,0.754,0.791,0.0,0.791,0.791,0.397,0.253,0.791,0.919,0.791
3J16_1_J,0.421,0.03,0.021,0.014,0.211,0.198,0.014,0.11,0.053,0.0,0.1
3J16_1_K,0.068,0.057,0.027,0.061,0.171,0.058,0.058,0.043,0.057,0.078,0.206
3J16_1_L,0.669,0.415,0.689,0.459,0.406,0.63,0.237,0.208,0.372,0.795,0.746
3J2C_1_O,0.787,0.743,0.0,0.706,0.646,0.752,0.568,0.312,0.708,0.375,0.63
3J3V_1_B,0.634,0.405,0.634,0.417,0.519,0.46,0.454,0.448,0.424,0.623,0.634
3J45_1_1,0.584,0.525,0.0,0.483,0.525,0.503,0.483,0.405,0.483,0.431,0.38
3J45_1_2,0.667,0.632,0.177,0.632,0.632,0.632,0.632,0.632,0.632,0.583,0.632
3J45_1_3,0.791,0.791,0.0,0.791,0.791,0.722,0.791,0.791,0.791,0.935,0.791
3J45_1_5,0.611,0.545,0.136,0.598,0.518,0.545,0.471,0.523,0.55,0.559,0.553
3J46_1_1,0.567,0.51,0.0,0.469,0.51,0.488,0.469,0.393,0.469,0.418,0.36
3J46_1_2,0.689,0.653,0.183,0.653,0.653,0.653,0.653,0.653,0.653,0.602,0.653
3J46_1_3,0.745,0.816,0.167,0.745,0.816,0.745,0.745,0.745,0.745,0.816,0.882
3J46_1_4,0.657,0.585,0.155,0.644,0.563,0.585,0.511,0.563,0.591,0.616,0.627
3J46_1_a,0.823,0.44,0.643,0.493,0.593,0.823,0.823,0.392,0.823,0.898,0.803
3J46_1_p,0.699,0.7,0.699,0.585,0.358,0.7,0.467,0.467,0.467,0.778,0.699
3J5L_1_B,0.707,0.111,0.696,0.366,0.464,0.515,0.169,0.0,0.161,0.783,0.707
3J5S_1_A,0.653,0.451,0.0,0.534,0.37,0.424,0.439,0.555,0.455,0.377,0.525
3J5S_1_B,0.0,0.462,0.139,0.462,0.462,0.462,0.588,0.462,0.462,0.524,0.294
3J5S_1_E,0.767,0.731,0.767,0.59,0.767,0.767,0.385,0.245,0.767,0.891,0.767
3J5Y_1_D,0.664,0.609,0.775,0.517,0.38,0.587,0.31,0.0,0.304,0.837,0.775
3J6B_1_e,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0
3J6X_1_5S,0.7,0.706,0.768,0.591,0.596,0.549,0.663,0.65,0.53,0.763,0.78
3J6Y_1_5S,0.682,0.688,0.748,0.576,0.581,0.535,0.646,0.634,0.516,0.743,0.759
3J77_1_5S,0.676,0.682,0.742,0.571,0.576,0.531,0.641,0.628,0.512,0.737,0.753
3J77_1_PT,0.778,0.742,0.778,0.599,0.778,0.778,0.391,0.249,0.778,0.871,0.778
3J78_1_5S,0.713,0.719,0.782,0.602,0.607,0.559,0.676,0.662,0.54,0.775,0.794
3J78_1_ET,0.778,0.742,0.778,0.599,0.778,0.778,0.391,0.249,0.778,0.905,0.778
3J78_1_PT,0.816,0.778,0.816,0.628,0.816,0.816,0.41,0.261,0.816,0.931,0.816
3J79_1_B,0.681,0.595,0.659,0.587,0.159,0.528,0.181,0.117,0.606,0.765,0.683
3J7A_1_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J7O_1_7,0.626,0.516,0.637,0.474,0.525,0.388,0.555,0.259,0.612,0.697,0.637
3J7P_1_7,0.626,0.516,0.637,0.474,0.525,0.388,0.555,0.259,0.612,0.697,0.637
3J7Q_1_7,0.626,0.516,0.637,0.474,0.525,0.388,0.555,0.259,0.612,0.697,0.637
3J7R_1_7,0.626,0.516,0.637,0.474,0.525,0.388,0.555,0.259,0.612,0.697,0.637
3J7R_1_S5,0.7,0.395,0.436,0.421,0.508,0.723,0.723,0.281,0.723,0.77,0.7
3J7R_1_S6,0.524,0.337,0.341,0.405,0.466,0.489,0.358,0.375,0.456,0.579,0.524
3J7Y_1_B,0.44,0.579,0.22,0.431,0.431,0.483,0.449,0.449,0.449,0.503,0.452
3J7Z_1_B,0.734,0.184,0.734,0.487,0.204,0.446,0.184,0.177,0.174,0.804,0.734
3J81_1_1,0.767,0.383,0.606,0.46,0.524,0.767,0.404,0.404,0.767,0.822,0.63
3J8G_1_A,0.547,0.0,0.618,0.1,0.162,0.0,0.153,0.0,0.112,0.64,0.547
3J92_1_2,0.756,0.756,0.656,0.659,0.756,0.756,0.756,0.756,0.756,0.811,0.756
3J92_1_7,0.73,0.607,0.741,0.562,0.623,0.474,0.651,0.275,0.712,0.797,0.741
3J9B_1_K-L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3J9M_1_B,0.0,0.244,0.315,0.262,0.429,0.244,0.455,0.244,0.244,0.513,0.491
3J9W_1_AX,0.798,0.557,0.798,0.574,0.479,0.798,0.467,0.456,0.557,0.853,0.798
3J9W_1_BB,0.713,0.432,0.69,0.445,0.566,0.497,0.49,0.497,0.456,0.653,0.713
3J9Y_1_B,0.781,0.214,0.781,0.526,0.238,0.718,0.211,0.188,0.201,0.854,0.792
3J9Y_1_v,0.469,0.435,0.604,0.495,0.767,0.83,0.446,0.446,0.435,0.831,0.83
3J9Z_1_LB,0.712,0.193,0.712,0.48,0.213,0.613,0.193,0.169,0.183,0.778,0.722
3J9Z_1_S6,0.725,0.397,0.725,0.558,0.725,0.725,0.692,0.725,0.725,0.843,0.778
3J9Z_1_S7,0.68,0.365,0.68,0.431,0.465,0.664,0.664,0.332,0.685,0.63,0.68
3JA1_1_LB,0.717,0.194,0.717,0.483,0.215,0.598,0.194,0.17,0.184,0.784,0.727
3JA1_1_S2,0.767,0.385,0.767,0.551,0.767,0.767,0.748,0.767,0.767,0.857,0.804
3JAG_1_2,0.438,0.423,0.737,0.452,0.319,0.701,0.406,0.34,0.0,0.811,0.737
3JAG_1_3,0.798,0.581,0.798,0.557,0.759,0.798,0.581,0.342,0.487,0.853,0.798
3JAG_1_7,0.73,0.607,0.741,0.562,0.623,0.474,0.651,0.275,0.712,0.797,0.741
3JAH_1_2,0.432,0.417,0.726,0.445,0.314,0.691,0.4,0.335,0.0,0.8,0.726
3JAH_1_3,0.76,0.544,0.76,0.522,0.759,0.76,0.544,0.304,0.453,0.819,0.76
3JAH_1_7,0.742,0.618,0.753,0.571,0.633,0.482,0.662,0.28,0.724,0.81,0.753
3JAI_1_2,0.426,0.411,0.717,0.439,0.31,0.682,0.395,0.331,0.0,0.822,0.717
3JAI_1_3,0.76,0.544,0.76,0.522,0.759,0.76,0.544,0.304,0.453,0.853,0.76
3JAI_1_7,0.736,0.612,0.747,0.566,0.628,0.478,0.656,0.277,0.718,0.803,0.747
3JAJ_1_3,0.701,0.685,0.718,0.564,0.432,0.685,0.443,0.396,0.577,0.794,0.718
3JAJ_1_4,0.759,0.134,0.019,0.316,0.314,0.132,0.134,0.196,0.131,0.291,0.546
3JAJ_1_7,0.645,0.532,0.656,0.488,0.541,0.399,0.572,0.267,0.631,0.718,0.656
3JAN_1_3,0.701,0.685,0.718,0.564,0.432,0.685,0.443,0.396,0.577,0.794,0.718
3JAN_1_4,0.759,0.134,0.019,0.316,0.314,0.132,0.134,0.196,0.131,0.291,0.546
3JAN_1_7,0.645,0.532,0.656,0.488,0.541,0.399,0.572,0.267,0.631,0.718,0.656
3JAP_1_1,0.775,0.775,0.775,0.74,0.541,0.775,0.369,0.369,0.775,0.796,0.71
3JAQ_1_1,0.596,0.596,0.067,0.485,0.613,0.596,0.313,0.275,0.596,0.754,0.566
3JB7_1_t-m,0.0,0.913,0.0,0.0,0.0,0.0,0.707,0.0,0.0,0.0,0.0
3JB9_1_C,0.767,0.898,0.134,0.833,0.787,0.867,0.85,0.836,0.867,0.787,0.724
3JB9_1_N-P,0.459,0.353,0.038,0.357,0.249,0.349,0.349,0.488,0.298,0.398,0.241
3JBN_1_7,0.756,0.372,0.756,0.396,0.558,0.756,0.38,0.242,0.38,0.862,0.756
3JBN_1_AB,0.687,0.599,0.664,0.591,0.16,0.532,0.182,0.1,0.611,0.771,0.688
3JBO_1_7,0.725,0.357,0.707,0.38,0.535,0.725,0.364,0.232,0.364,0.827,0.725
3JBO_1_AB,0.687,0.599,0.664,0.591,0.16,0.532,0.182,0.1,0.611,0.771,0.688
3JBP_1_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3JBP_1_AB,0.697,0.608,0.675,0.6,0.162,0.54,0.185,0.101,0.62,0.783,0.699
3JBU_1_a,0.74,0.188,0.74,0.49,0.209,0.449,0.185,0.18,0.176,0.81,0.74
3JBU_1_v,0.708,0.322,0.708,0.293,0.118,0.708,0.69,0.566,0.69,0.715,0.708
3JBV_1_a,0.718,0.166,0.718,0.557,0.186,0.427,0.164,0.16,0.156,0.788,0.718
3JBV_1_V,0.748,0.412,0.748,0.56,0.525,0.748,0.25,0.35,0.245,0.74,0.748
3JBV_1_W,0.393,0.215,0.393,0.275,0.236,0.393,0.219,0.225,0.225,0.429,0.393
3JCD_1_8,0.725,0.396,0.725,0.478,0.508,0.725,0.742,0.33,0.725,0.837,0.758
3JCD_1_9,0.708,0.414,0.708,0.5,0.484,0.726,0.726,0.346,0.726,0.766,0.71
3JCD_1_B,0.751,0.188,0.751,0.498,0.209,0.456,0.188,0.181,0.179,0.785,0.751
3JCE_1_6,0.775,0.455,0.775,0.543,0.543,0.775,0.793,0.352,0.775,0.862,0.811
3JCE_1_8,0.725,0.692,0.725,0.558,0.725,0.725,0.364,0.232,0.725,0.843,0.725
3JCE_1_9,0.637,0.292,0.637,0.382,0.421,0.623,0.623,0.319,0.623,0.718,0.677
3JCE_1_B,0.712,0.181,0.712,0.472,0.201,0.432,0.178,0.173,0.169,0.78,0.712
3JCJ_1_0,0.74,0.185,0.74,0.49,0.205,0.449,0.185,0.178,0.176,0.791,0.74
3JCJ_1_v,0.419,0.389,0.593,0.443,0.712,0.776,0.398,0.398,0.389,0.778,0.776
3JCM_1_E,0.804,0.804,0.0,0.77,0.219,0.804,0.804,0.804,0.804,0.538,0.804
3JCM_1_F,0.588,0.934,0.0,0.374,0.341,0.906,0.832,0.357,0.311,0.565,0.327
3JCN_1_B,0.733,0.198,0.733,0.494,0.219,0.454,0.181,0.174,0.189,0.801,0.743
3JCN_1_v,0.383,0.356,0.557,0.405,0.682,0.747,0.365,0.365,0.356,0.752,0.747
3JCS_1_3,0.324,0.32,0.028,0.322,0.273,0.389,0.221,0.29,0.197,0.359,0.224
3JCS_1_4,0.262,0.719,0.0,0.742,0.667,0.481,0.778,0.762,0.747,0.496,0.639
3JCS_1_5,0.423,0.13,0.0,0.141,0.144,0.141,0.141,0.138,0.138,0.252,0.166
3JCS_1_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3JCS_1_8,0.618,0.54,0.439,0.542,0.485,0.535,0.291,0.0,0.334,0.644,0.589
3JCT_1_3,0.66,0.666,0.724,0.558,0.562,0.518,0.625,0.346,0.5,0.719,0.735
3JCT_1_6,0.63,0.816,0.0,0.787,0.816,0.816,0.552,0.789,0.732,0.758,0.764
3JQ4_1_B,0.624,0.763,0.739,0.717,0.378,0.752,0.63,0.315,0.694,0.722,0.739
3JXQ_1_B-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289
3JXQ_1_L-K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289
3JXR_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289
3K0J_1_E,0.4,0.433,0.13,0.443,0.351,0.651,0.406,0.716,0.391,0.797,0.433
3K0J_1_F,0.405,0.438,0.132,0.448,0.363,0.659,0.42,0.725,0.396,0.761,0.438
3K1V_1_A,0.426,0.477,0.0,0.477,0.477,0.477,0.477,0.426,0.477,0.564,0.607
3KFU_1_K,0.786,0.786,0.048,0.711,0.729,0.786,0.786,0.767,0.786,0.857,0.786
3KFU_1_L,0.786,0.786,0.048,0.711,0.729,0.786,0.786,0.767,0.786,0.857,0.786
3KFU_1_M,0.753,0.753,0.382,0.682,0.698,0.753,0.753,0.735,0.753,0.822,0.753
3KFU_1_N,0.753,0.753,0.382,0.682,0.698,0.753,0.753,0.735,0.753,0.822,0.753
3KLV_1_B-C,0.0,1.0,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.5
3KMQ_1_B-C,0.775,1.0,0.447,0.775,0.775,0.775,0.775,0.775,0.775,0.894,0.775
3KMS_1_B-C,0.0,1.0,0.0,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.632
3KNA_1_B-C,0.0,0.845,0.0,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.535
3KOA_1_B-C,0.0,0.258,0.447,0.0,0.0,0.775,0.0,0.0,0.0,0.632,0.447
3KS8_1_E-F,0.943,1.0,0.118,0.943,0.943,0.943,0.913,0.913,0.943,0.972,1.0
3KTV_1_A,0.736,0.537,0.0,0.572,0.48,0.736,0.63,0.481,0.46,0.435,0.435
3KTV_1_C,0.766,0.636,0.076,0.561,0.487,0.612,0.66,0.37,0.488,0.42,0.404
3KTW_1_C,0.735,0.469,0.0,0.579,0.422,0.724,0.724,0.422,0.422,0.833,0.523
3KTW_1_D,0.689,0.401,0.0,0.433,0.416,0.702,0.649,0.416,0.345,0.775,0.501
3L0U_1_A,0.786,0.437,0.786,0.528,0.551,0.787,0.804,0.358,0.787,0.875,0.822
3L25_1_C-F,0.791,1.0,0.204,0.866,0.866,0.866,0.791,0.791,0.866,0.935,1.0
3L3C_1_P,0.576,0.713,0.027,0.729,0.484,0.722,0.497,0.31,0.497,0.678,0.728
3L3C_1_Q,0.584,0.712,0.026,0.76,0.453,0.72,0.529,0.462,0.542,0.703,0.757
3L3C_1_R,0.589,0.718,0.026,0.777,0.457,0.727,0.54,0.466,0.547,0.72,0.772
3L3C_1_S,0.482,0.607,0.026,0.61,0.42,0.615,0.412,0.368,0.431,0.575,0.625
3LA5_1_A,0.753,0.753,0.0,0.753,0.753,0.753,0.753,0.753,0.753,0.772,0.777
3LOA_1_B-A,0.452,0.635,0.2,0.354,0.405,0.775,0.418,0.372,0.418,0.405,0.359
3LQX_1_B,0.845,0.845,0.109,0.787,0.787,0.845,0.845,0.845,0.845,0.951,0.845
3LRN_1_C-D,0.913,1.0,0.109,0.957,0.957,0.957,0.957,0.957,0.957,0.913,0.957
3LRR_1_C-D,0.0,0.894,0.283,0.894,0.0,0.949,0.949,0.949,0.949,0.0,0.141
3LWO_1_D,0.873,0.873,0.207,0.873,0.873,0.873,0.873,0.845,0.873,0.823,0.873
3LWP_1_D,0.873,0.873,0.207,0.873,0.873,0.873,0.873,0.845,0.873,0.823,0.873
3LWQ_1_D,0.873,0.873,0.207,0.873,0.873,0.873,0.873,0.845,0.873,0.823,0.873
3LWR_1_D,0.873,0.873,0.207,0.873,0.873,0.873,0.873,0.845,0.873,0.823,0.873
3LWV_1_D,0.894,0.894,0.212,0.894,0.894,0.894,0.894,0.866,0.894,0.843,0.894
3MEI_1_A-B,0.0,0.779,0.308,0.0,0.0,0.368,0.0,0.0,0.0,0.653,0.723
3MIJ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3MJ3_1_B,0.822,0.833,0.204,0.833,0.87,0.816,0.833,0.783,0.833,0.833,0.833
3MJA_1_B,0.822,0.833,0.204,0.833,0.87,0.816,0.833,0.783,0.833,0.833,0.833
3MJB_1_A,0.822,0.833,0.204,0.833,0.87,0.816,0.833,0.783,0.833,0.833,0.833
3MOJ_1_A,0.766,0.898,0.136,0.88,0.763,0.862,0.861,0.44,0.898,0.916,0.536
3MQK_1_D-E,0.0,0.707,0.354,0.707,0.707,0.632,0.632,0.707,0.707,0.577,0.707
3MUM_1_R,0.254,0.266,0.0,0.39,0.666,0.632,0.179,0.183,0.26,0.732,0.374
3MUR_1_R,0.189,0.257,0.0,0.322,0.237,0.643,0.181,0.177,0.184,0.708,0.257
3MUT_1_R,0.26,0.266,0.0,0.382,0.632,0.666,0.183,0.187,0.26,0.732,0.318
3MUV_1_R,0.257,0.691,0.0,0.426,0.607,0.658,0.543,0.185,0.257,0.724,0.522
3MXH_1_R,0.189,0.257,0.0,0.377,0.593,0.643,0.181,0.181,0.184,0.708,0.251
3NCU_1_C-D,0.816,0.866,0.0,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
3NDB_1_M,0.771,0.78,0.0,0.682,0.742,0.805,0.805,0.647,0.805,0.706,0.724
3NJ7_1_A-B,0.791,1.0,0.0,0.25,0.791,0.791,0.0,0.0,0.0,0.866,0.707
3NJ7_1_C-D,0.791,1.0,0.0,0.25,0.791,0.791,0.0,0.0,0.0,0.866,0.707
3NJ7_1_E-F,0.791,1.0,0.0,0.25,0.791,0.791,0.0,0.0,0.0,0.866,0.707
3NKB_1_B,0.354,0.462,0.231,0.421,0.522,0.509,0.509,0.497,0.509,0.589,0.522
3NL0_1_B-C,0.0,0.926,0.0,0.756,0.756,0.756,0.756,0.756,0.756,0.845,0.926
3NMU_1_D-I,0.676,0.676,0.126,0.63,0.7,0.676,0.655,0.6,0.655,0.7,0.7
3NMU_1_E-K,0.724,0.7,0.0,0.692,0.752,0.678,0.678,0.657,0.556,0.708,0.78
3NPN_1_A,0.462,0.333,0.0,0.362,0.3,0.462,0.333,0.333,0.333,0.6,0.666
3NPQ_1_A,0.471,0.316,0.068,0.354,0.289,0.34,0.327,0.327,0.327,0.309,0.527
3NPQ_1_B,0.347,0.334,0.0,0.361,0.295,0.361,0.334,0.361,0.334,0.315,0.334
3NPQ_1_C,0.408,0.316,0.091,0.354,0.289,0.34,0.327,0.354,0.327,0.309,0.382
3NVI_1_E,0.535,0.535,0.378,0.535,0.655,0.655,0.309,0.309,0.169,0.676,0.655
3NVI_1_F,0.535,0.535,0.378,0.535,0.655,0.655,0.309,0.309,0.169,0.676,0.655
3NVK_1_K-G,0.632,0.632,0.158,0.632,0.632,0.632,0.516,0.516,0.359,0.645,0.632
3NVK_1_L-S,0.566,0.566,0.139,0.566,0.566,0.566,0.49,0.49,0.37,0.588,0.566
3OG8_1_C-D,0.926,1.0,0.12,0.926,0.926,0.926,0.926,0.886,0.926,0.926,0.926
3OIJ_1_C,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
3OIJ_1_D,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
3OIN_1_C,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
3OL6_1_J-N-K-O-L-P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
